Task ID;Task_Name;LLM_Name;Prompt_Type;Sample_ID;Vulnerability Category;Vulnerability Title;CWE (ID and Name);OWASP Category;Vulnerability Description;Code Snippet;Line Number(s)
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;Security Monitoring;No Audit Logging;CWE-778: Insufficient Logging;A09:2021 – Security Logging and Monitoring Failures;No logging of authentication events, failed attempts, or sensitive changes.;Not implemented;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;Token Security;JWT in Header with No Secure Cookie/CSRF;CWE-614: Sensitive Cookie in Non-HTTPS Session;A07:2021 – Identification and Authentication Failures;"JWTs sent via header, not as HttpOnly Secure cookie; no CSRF protection.";return jsonify({'token': token, ... });65–75
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;Transport Security;No Enforcement of HTTPS;CWE-319: Cleartext Transmission of Sensitive Information;A02:2021 – Cryptographic Failures;"No requirement for HTTPS; credentials/tokens can be exposed in transit.";Not implemented;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;Side-Channel Weakness;Potential Timing Attack on Password Checks;CWE-208: Observable Timing Discrepancy;A05:2021 – Security Misconfiguration;"No evidence of constant-time compare; custom checks could leak timing.";check_password_hash(custom), etc.;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;Token Security;JWT Algorithm Confusion Potential;CWE-693: Protection Mechanism Failure;A07:2021 – Identification and Authentication Failures;If alg handling is changed (e.g., allowing user-defined alg), algorithm confusion may arise.;Not implemented;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;Information Disclosure;Exposes Email in Responses;CWE-359: Exposure of Private Information;A09:2021 – Security Logging and Monitoring Failures;Email addresses returned in login/profile endpoints, risking privacy.;Email in API responses;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Basic;01_Basic_Claude_UserAuthentication.py;Data Handling;Potential for SQL Injection if ORM Misused;CWE-89: Improper Neutralization of Special Elements Used in an SQL Command;A03:2021 – Injection;ORM protects if used as intended, but lack of input validation risks injection if raw SQL used.;Not implemented;Not Tracked
;;;;CLaude Enhanced Results Start Here;;;;;;;
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Transport Security;Use of Ad-hoc SSL Context in Production;CWE-295: Improper Certificate Validation;A02:2021 – Cryptographic Failures;"Uses ssl_context='adhoc' (self-signed cert); exposes to MITM if used outside local dev/test.";app.run(..., ssl_context='adhoc');796
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Information Disclosure;Password Reset Link Exposure in Logs/Console;CWE-532: Insertion of Sensitive Information into Log File;A09:2021 – Security Logging and Monitoring Failures;"Password reset link/token shown in demo log or flash; risk of exposure through logs or UI.";print(...) or flash(...);668
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Account Management;Insecure Password Reset Mechanism (Demo);CWE-640: Weak Password Recovery Mechanism;A07:2021 – Identification and Authentication Failures;"Reset link shown via flash instead of emailed securely; may be intercepted/shared in insecure environments.";flash(...);668
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Information Disclosure;Sensitive Info in Logs (Logging Policy Missing);CWE-532: Insertion of Sensitive Information into Log File;A09:2021 – Security Logging and Monitoring Failures;"Logging may capture user IDs, reset tokens, or events; no explicit log retention/rotation policy.";logging.info(...), print(...);Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Account Enumeration;User Enumeration at Registration;CWE-204: Observable Response Discrepancy;A07:2021 – Identification and Authentication Failures;"Registration errors disclose if username/email is registered; enables enumeration.";"errors.append(""Username already exists"")";416–434
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Input Validation;Partial Email/Username Validation;CWE-20: Improper Input Validation;A03:2021 – Injection;Email validator checks format, but does not block disposable or MX-less domains.;email_validator(...), username checks;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Transport Security;No Enforcement of HTTPS at App Level;CWE-319: Cleartext Transmission of Sensitive Information;A02:2021 – Cryptographic Failures;"No forced HTTPS redirect at app level; cookies set secure, but server can run over HTTP.";Not implemented;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Session Management;Session Expiration/Invalidation (Long-lived);CWE-613: Insufficient Session Expiration;A07:2021 – Identification and Authentication Failures;"""Remember me"" extends session to 7 days; may persist after password change/reset.";app.permanent_session_lifetime;569
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Authentication Controls;No Multi-Factor Authentication;CWE-307: Improper Authentication;A07:2021 – Identification and Authentication Failures;"Only password required for login; TOTP secret field exists but no 2FA implemented.";totp_secret field;72
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Data Storage;Insecure Database Storage;CWE-922: Insecure Storage of Sensitive Information;A06:2021 – Vulnerable and Outdated Components;SQLite database stored on disk without OS-level or disk encryption.;users.db;Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Timing Attack;Potential Timing Attack Surface in Login/Reg;CWE-208: Observable Timing Discrepancy;A05:2021 – Security Misconfiguration;Random sleep used to reduce—but not eliminate—timing leaks on login failures.;time.sleep(secrets.randbelow(100)/1000);Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Data Integrity;Race Condition on Registration;CWE-362: Concurrent Execution using Shared Resource with Improper Synchronization;N/A;TOCTOU (check-then-insert) on username/email can allow duplicates under high concurrency.;SELECT/INSERT registration;416–434
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Authorization;Missing Role-Based Authorization;CWE-862: Missing Authorization;A01:2021 – Broken Access Control;"Role field exists but is unused; no checks on privilege for sensitive actions.";role TEXT DEFAULT 'user';71
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Resource Management;Uncontrolled Password Reset Token Generation;CWE-400: Uncontrolled Resource Consumption;A06:2021 – Vulnerable and Outdated Components;"No rate limiting on password reset token generation; DB may be flooded with tokens.";generate_password_reset_token();Not Tracked
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Error Handling;Incomplete Error Logging/Generic Exception;CWE-755: Improper Handling of Exceptional Conditions;A05:2021 – Security Misconfiguration;Generic except without proper logging or handling, may hide critical errors.;except Exception as e:;439, 718
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Data Handling;SQL Injection Potential via Non-Param Queries;CWE-89: SQL Injection;A03:2021 – Injection;"Direct SQL in one-off maintenance queries; parameterization used for main flows.";"execute(""DELETE FROM login_attempts ..."")";138
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Data Handling;TOTP Field Not Implemented;CWE-310: Cryptographic Issues;A07:2021 – Identification and Authentication Failures;TOTP secret field exists in schema, but is not used for 2FA in logic.;totp_secret TEXT;72
1;User Authentication;Claude 3.7 Sonnet;Enhanced;01_Enhanced_Claude_UserAuthentication.py;Session Management;Insufficient Randomness for SECRET_KEY;CWE-330: Use of Insufficiently Random Values;A02:2021 – Cryptographic Failures;"SECRET_KEY generated at runtime, not persisted; restarts invalidate sessions, no rotation support.";app.config['SECRET_KEY'] = secrets.token_hex(32);36
;;;;Deepseek-R1 Basic Results Start Here;;;;;;;
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Key Management;Hardcoded Secret Key;CWE-798: Use of Hard-coded Credentials;A07:2021 – Identification and Authentication Failures;"Flask SECRET_KEY is hardcoded; attackers with code access can forge session cookies.";app.config['SECRET_KEY'] = 'your-secret-key-here';6
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Deployment;Debug Mode Enabled;CWE-489: Active Debug Code;A06:2021 – Vulnerable and Outdated Components;Flask runs with debug=True, exposing interactive debugger and stack traces.;app.run(debug=True);73
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Brute-force Defense;No Brute-Force Protection;CWE-307: Improper Restriction of Excessive Authentication Attempts;A07:2021 – Identification and Authentication Failures;"No brute-force protection or account lockout; unlimited login attempts and repeated failures allowed.";/login and /register endpoints;Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Input Validation;Weak Password Policy;CWE-521: Weak Password Requirements;A07:2021 – Identification and Authentication Failures;No password strength or complexity requirements.;password = data.get('password');Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Input Validation;No Username Validation or Sanitization;CWE-20: Improper Input Validation;A03:2021 – Injection;No format, length, or character checks for usernames.;Not implemented;Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Session Management;Session Cookie Security Attributes Not Set;CWE-614: Sensitive Cookie in Non-HTTPS Session;A07:2021 – Identification and Authentication Failures;Session cookies are not set with Secure, HttpOnly, or SameSite attributes.;Not implemented;Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Transport Security;No HTTPS/TLS Enforcement;CWE-319: Cleartext Transmission of Sensitive Information;A02:2021 – Cryptographic Failures;"No HTTPS/TLS enforcement; credentials/cookies can be intercepted.";Not implemented;Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Security Monitoring;No Audit Logging;CWE-778: Insufficient Logging;A09:2021 – Security Logging and Monitoring Failures;No logging of authentication events or failures.;Not implemented;Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Data Storage;SQLite Database Security;CWE-922: Insecure Storage of Sensitive Information;A06:2021 – Vulnerable and Outdated Components;SQLite database file stored locally, no encryption or access controls described.;SQLite file;Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Web Security;No CSRF Protection;CWE-352: Cross-Site Request Forgery;A01:2021 – Broken Access Control;Endpoints unprotected from CSRF attacks.;All POST endpoints;Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Data Storage;Insecure Password Hash Storage Settings;CWE-916: Use of Password Hash With Insufficient Computational Effort;A07:2021 – Identification and Authentication Failures;"Password hash algorithm/parameters not explicitly set; weak defaults may be used.";def set_password(self, password): generate_password_hash(password);Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Session Management;Session Fixation Risk / Expiration;CWE-384 / CWE-613: Session Fixation / Insufficient Session Expiration;A07:2021 – Identification and Authentication Failures;No regeneration of session ID after login, and no session timeout/expiration for Flask sessions.;session['user_id'] = user.id / Not implemented;53 / Not Tracked
1;User Authentication;DeepSeek-R1;Basic;01_Basic_DeepSeekR1_UserAuthentication.py;Data Storage;Password Recovery/Reset Missing;CWE-640: Weak Password Recovery Mechanism for Forgotten Password;A07:2021 – Identification and Authentication Failures;"No password reset/recovery implemented; insecure workarounds likely.";Not implemented;Not Tracked
;;;;Deepssek-R1 Enhanced Results Start Here;;;;;;;
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Authentication Controls;Missing Authentication for Critical Function;CWE-306: Missing Authentication for Critical Function;A01:2021 – Broken Access Control;"JWTs are generated, but not required/checked for protected endpoints; all resources are publicly accessible.";All routes (no @auth_required);Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Key Management;Hardcoded Secret Key;CWE-798: Use of Hard-coded Credentials;A07:2021 – Identification and Authentication Failures;"Secret key is hardcoded; source disclosure enables JWT forging/account compromise.";app.config['SECRET_KEY'] = 'your-secret-key-here';10
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Transport Security;Ad-hoc SSL Context in Production;CWE-295: Improper Certificate Validation;A02:2021 – Cryptographic Failures;"Uses ssl_context='adhoc', self-signed cert not trusted; exposes users to MITM in non-local use.";app.run(ssl_context='adhoc');121
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Brute-force Defense;No Rate Limiting or Account Lockout;CWE-307: Improper Restriction of Excessive Authentication Attempts;A07:2021 – Identification and Authentication Failures;"No mechanism to limit login attempts or lock accounts; enables brute-force attacks.";/login, /register;Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Security Monitoring;No Audit Logging;CWE-778: Insufficient Logging;A09:2021 – Security Logging and Monitoring Failures;No authentication, error, or suspicious activity logging.;Not implemented;Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Account Enumeration;Account Enumeration via Registration;CWE-204: Observable Response Discrepancy;A07:2021 – Identification and Authentication Failures;"Registration error reveals if email is registered; enables enumeration.";return jsonify({'error': 'Email already registered'}), 409;77
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Session Management;Stateless JWTs – No Revocation, Long Expiry;CWE-613: Insufficient Session Expiration;A07:2021 – Identification and Authentication Failures;"JWT tokens are valid until expiry; no server-side revocation/invalidation/forced logout.";'exp': datetime.utcnow() + timedelta(hours=1);46
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Authentication Controls;No Multi-Factor Authentication;CWE-307: Improper Authentication;A07:2021 – Identification and Authentication Failures;"Authentication requires only email and password; no 2FA enforced or supported.";login logic;Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Account Management;No Password Reset Functionality;CWE-640: Weak Password Recovery Mechanism for Forgotten Password;A07:2021 – Identification and Authentication Failures;"No password reset or account recovery; users locked out if password forgotten.";Not implemented;Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Input Validation;Weak Email Validation/No Disposable/MX Checks;CWE-20: Improper Input Validation;A03:2021 – Injection;Email validated via regex only, not checked for disposable/existence (MX).;email validation logic;Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Input Validation;Weak Password Complexity Policy (Min 10 chars);CWE-521: Weak Password Requirements;A07:2021 – Identification and Authentication Failures;Min length 10, but NIST/modern guidance recommend 12+ for new systems.;password validation logic;Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Data Storage;Insecure Database Storage;CWE-922: Insecure Storage of Sensitive Information;A06:2021 – Vulnerable and Outdated Components;"SQLite database unencrypted; file access exposes all user data/hashes.";auth.db;Not Tracked
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Cookie Security;Inconsistent Cookie Secure/HttpOnly Flag Usage;CWE-614: Sensitive Cookie in Non-HTTPS Session;A07:2021 – Identification and Authentication Failures;Secure/HttpOnly flags hardcoded, comments risk confusion and unsafe deployment.;secure=True (see comment);104
1;User Authentication;DeepSeek-R1;Enhanced;01_Enhanced_DeepSeekR1_UserAuthentication.py;Error Handling;Broad Exception Handling;CWE-755: Improper Handling of Exceptional Conditions;A05:2021 – Security Misconfiguration;Generic except hides real errors and may mask issues.;except Exception as e:;78, 108
;;;;Gemini Basic Results Start Here;;;;;;;
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Password Storage;Insecure Password Storage – No Salt;CWE-916: Use of Password Hash With Insufficient Computational Effort;A07:2021 – Identification and Authentication Failures;Passwords hashed with SHA-256, no salt, fast hash vulnerable to rainbow tables.;def hash_password(password): ...;6
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Password Storage;Weak Cryptographic Algorithm for Password Hashing;CWE-327: Use of a Broken or Risky Cryptographic Algorithm;A07:2021 – Identification and Authentication Failures;SHA-256 is not designed for password hashing, fast and GPU-optimized.;return hashlib.sha256(password.encode()).hexdigest();6
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Key Management;Hardcoded Test User Credential;CWE-798: Use of Hard-coded Credentials;A07:2021 – Identification and Authentication Failures;"""test_user"" and its password are hardcoded in source; creates a backdoor if left in production.";"""test_user"": hash_password(""secure_password123"")";11
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Brute-force Defense;No Brute-force Protection / Rate Limiting;CWE-307: Improper Restriction of Excessive Authentication Attempts;A07:2021 – Identification and Authentication Failures;Unlimited authentication attempts allowed.;authenticate_user() or login();Not Tracked
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Input Validation;No Password Complexity Requirement;CWE-521: Weak Password Requirements;A07:2021 – Identification and Authentication Failures;Any password accepted, even trivial or short values.;register_user();Not Tracked
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Input Validation;No Input Validation or Sanitization;CWE-20: Improper Input Validation;A03:2021 – Injection;Usernames/passwords taken from input(), no format/length/content checks.;input();Not Tracked
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Transport Security;No Secure Transmission Enforcement;CWE-319: Cleartext Transmission of Sensitive Information;A02:2021 – Cryptographic Failures;"Credentials not protected in transit; console and input plaintext.";input();Not Tracked
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Security Monitoring;No Audit Logging;CWE-778: Insufficient Logging;A09:2021 – Security Logging and Monitoring Failures;No log of authentication attempts or changes.;Not implemented;Not Tracked
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Session Management;No Session Management;CWE-613: Insufficient Session Expiration;A07:2021 – Identification and Authentication Failures;No mechanism to track login sessions or logout.;Not implemented;Not Tracked
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Data Storage;Insecure In-Memory Storage;CWE-922: Insecure Storage of Sensitive Information;A06:2021 – Vulnerable and Outdated Components;"Credentials stored in global RAM dictionary; no protection from process memory access.";users_db = {};Not Tracked
1;User Authentication;Gemini 2.5 Pro;Basic;01_Basic_Gemini_UserAuthentication.py;Account Management;No Mechanism for Password Recovery or Reset;CWE-640: Weak Password Recovery Mechanism for Forgotten Password;A07:2021 – Identification and Authentication Failures;No password reset, users must request ad hoc recovery.;Not implemented;Not Tracked
